database_name	PGN_Ecoli_Bsubtilis
database_version	1.0
0	C2H5NO2	PGNDB1
0	C3H7NO2	PGNDB2
0	C5H10N2O3	PGNDB3
0	C5H10N2O3	PGNDB4
0	C6H14N2O2	PGNDB5
0	C5H9NO4	PGNDB6
0	C6H12N2O3	PGNDB7
0	C3H5O6P	PGNDB8
0	C3H9O6P	PGNDB9
0	C6H14N4O2	PGNDB10
0	C6H13NO5	PGNDB11
0	C6H14O6	PGNDB12
0	C7H15N3O3	PGNDB13
0	C7H14N2O4	PGNDB14
0	C8H13NO5	PGNDB15
0	C8H15N3O4	PGNDB16
0	C9H19N3O3	PGNDB17
0	C8H14N2O5	PGNDB18
0	C8H15NO6	PGNDB19
0	C8H17NO6	PGNDB20
0	C6H14NO7P	PGNDB21
0	C6H15O8P	PGNDB22
0	C9H17NO7	PGNDB23
0	C7H11O8P	PGNDB24
0	C6H14NO8P	PGNDB25
0	C10H20N4O4	PGNDB26
0	C10H19N3O5	PGNDB27
0	C11H17NO7	PGNDB28
0	C11H17NO7	PGNDB29
0	C11H17NO7	PGNDB30
0	C11H21N3O5	PGNDB31
0	C11H19NO8	PGNDB32
0	C11H19NO8	PGNDB33
0	C11H21NO8	PGNDB34
0	C8H16NO9P	PGNDB35
0	C12H23N5O5	PGNDB36
0	C12H22N4O6	PGNDB37
0	C12H24N4O6	PGNDB38
0	C12H23N3O7	PGNDB39
0	C10H13O10P	PGNDB40
0	C6H16O11P2	PGNDB41
0	C13H25N5O5	PGNDB42
0	C13H24N4O6	PGNDB43
0	C13H21NO9	PGNDB44
0	C14H22N2O8	PGNDB45
0	C14H26N4O6	PGNDB46
0	C14H24N2O9	PGNDB47
0	C11H20NO11P	PGNDB48
0	C14H26N2O10	PGNDB49
0	C15H28N6O6	PGNDB50
0	C15H28N6O6	PGNDB51
0	C15H27N5O7	PGNDB52
0	C15H27N5O7	PGNDB53
0	C15H26N4O8	PGNDB54
0	C9H21NO12P2	PGNDB55
0	C16H30N6O6	PGNDB56
0	C16H29N5O7	PGNDB57
0	C15H28N2O11	PGNDB58
0	C17H31N5O7	PGNDB59
0	C16H28N2O11	PGNDB60
0	C16H28N2O11	PGNDB61
0	C10H15N5O10P2	PGNDB62
0	C17H33N7O6	PGNDB63
0	C17H32N6O7	PGNDB64
0	C17H31N5O8	PGNDB65
0	C17H30N6O8	PGNDB66
0	C17H29N5O9	PGNDB67
0	C17H30N2O12	PGNDB68
0	C18H32N6O8	PGNDB69
0	C18H31N5O9	PGNDB70
0	C19H30N4O10	PGNDB71
0	C19H29N3O11	PGNDB72
0	C19H30N2O12	PGNDB73
0	C10H17N2O14P3	PGNDB74
0	C9H16N3O14P3	PGNDB75
0	C9H15N2O15P3	PGNDB76
0	C19H32N4O11	PGNDB77
0	C19H31N3O12	PGNDB78
0	C19H32N2O13	PGNDB79
