CompoundName	SumFormula	Mass	Charge	RetentionTime	RetentionTimeRange	IsoDistribution
GlcNAc	C8H15NO6	0	1	150	80	0
GlcNAc#-H2O	C8H13NO5	0	1	150	80	0
GlcNAc#+Na-H	C8H14NO6Na	0	1	150	80	0
GlcN6P	C6H14NO8P	0	1	128	80	0
GlcN6P#-H2O	C6H12NO7P	0	1	128	120	0
GlcN6P#-2H2O	C6H10NO6P	0	1	128	120	0
UDP-GlcNAc	C17H27N3O17P2	0	1	258	90	0
UDP-GlcNAc#+Na-H	C17H26N3O17P2	0	1	258	90	0
MurNAc	C11H19NO8	0	1	286,450	90	0
MurNAc#+Na-H	C11H18NO8Na	0	1	286,450	90	0
UDP-MurNAc-penta	C41H65N9O28P2	0	1,2	539	90	0
ATP	C10H16N5O13P3	0	1	277	80	0
ADP	C10H15N5O10P2	0	1	272	80	0
UDP-Glc	C15H24N2O17P2	0	1	224	50	0
UDP-Glc#+Na-H	C15H23N2O17P2Na	0	1	224	50	0
Fosfomycin	C3H7O4P	0	1	166	50	0
Fosfomycin#Dimer	C6H14O8P2	0	1	166	50	0
